com.samsung.shealth.tracker.pedometer_day_summary,6156001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
24,baf7435d-0556-4cd4-80e7-4267eebbb280.binning_data.json,16125,6000,0,2018-05-05 22:17:54.023,com.sec.android.app.shealth,2018-05-05 22:17:54.023,,1.1944443,17.539999,0.97,24,ekw9bqx6s/,com.sec.android.app.shealth,0,baf7435d-0556-4cd4-80e7-4267eebbb280.achievement.json,baf7435d-0556-4cd4-80e7-4267eebbb280,1525478400000,
7578,bbce5521-ec24-4f93-99ab-d9b230e27c1f.binning_data.json,4230958,6000,0,2018-05-08 22:00:02.703,com.sec.android.app.shealth,2018-05-08 22:00:02.703,,1.5833335,5755.66,307.78,7578,ekw9bqx6s/,com.sec.android.app.shealth,6738,bbce5521-ec24-4f93-99ab-d9b230e27c1f.achievement.json,bbce5521-ec24-4f93-99ab-d9b230e27c1f,1525737600000,
4372,5ffc7283-822a-402a-a4c9-e09323e7310b.binning_data.json,2556337,6000,0,2018-05-06 21:55:01.460,com.sec.android.app.shealth,2018-05-06 03:35:03.597,5ffc7283-822a-402a-a4c9-e09323e7310b.source_info.json,1.2900176,3297.72,175.44,4372,VfS0qUERdZ,com.sec.android.app.shealth,0,5ffc7283-822a-402a-a4c9-e09323e7310b.achievement.json,5ffc7283-822a-402a-a4c9-e09323e7310b,1525564800000,
9710,5fb20def-0fab-4863-9e5f-eacf6575a3c8.binning_data.json,5873924,6000,0,2018-05-11 22:00:02.338,com.sec.android.app.shealth,2018-05-11 22:00:02.338,,1.5,7299.33,389.03,9710,ekw9bqx6s/,com.sec.android.app.shealth,5930,5fb20def-0fab-4863-9e5f-eacf6575a3c8.achievement.json,5fb20def-0fab-4863-9e5f-eacf6575a3c8,1525996800000,
4372,694b051d-42c6-4075-a266-ac3b7a056bc9.binning_data.json,2556326,6000,0,2018-05-06 22:00:01.602,com.sec.android.app.shealth,2018-05-06 22:00:01.602,,1.3803335,3297.72,175.44,4372,ekw9bqx6s/,com.sec.android.app.shealth,2746,694b051d-42c6-4075-a266-ac3b7a056bc9.achievement.json,694b051d-42c6-4075-a266-ac3b7a056bc9,1525564800000,
24,2d737814-2b29-48b9-ac0b-fd94a3ec7f04.binning_data.json,16125,6000,0,2018-05-05 17:49:04.887,com.sec.android.app.shealth,2018-05-05 17:16:27.140,2d737814-2b29-48b9-ac0b-fd94a3ec7f04.source_info.json,1.0877069,17.539999,0.97,24,VfS0qUERdZ,com.sec.android.app.shealth,0,2d737814-2b29-48b9-ac0b-fd94a3ec7f04.achievement.json,2d737814-2b29-48b9-ac0b-fd94a3ec7f04,1525478400000,
7368,d87d601e-c77b-4d25-b6a7-4cbcc1d158cb.binning_data.json,4057659,6000,0,2018-05-09 22:00:01.548,com.sec.android.app.shealth,2018-05-09 22:00:01.548,,1.5277778,5599.88,300.35,7368,ekw9bqx6s/,com.sec.android.app.shealth,6518,d87d601e-c77b-4d25-b6a7-4cbcc1d158cb.achievement.json,d87d601e-c77b-4d25-b6a7-4cbcc1d158cb,1525824000000,
3794,3be48976-a4a2-43ae-8a11-26b3a567c6e8.binning_data.json,2021835,6000,0,2018-05-14 22:00:02.994,com.sec.android.app.shealth,2018-05-14 22:00:02.994,,1.6224998,2905.35,154.74,3794,ekw9bqx6s/,com.sec.android.app.shealth,1822,3be48976-a4a2-43ae-8a11-26b3a567c6e8.achievement.json,3be48976-a4a2-43ae-8a11-26b3a567c6e8,1526256000000,
4282,359e95f4-a6a1-44ac-9743-c9f17a09fa8a.binning_data.json,2742376,6000,3,2018-05-12 22:00:02.686,com.sec.android.app.shealth,2018-05-12 22:00:02.686,,1.5555557,3187.97,171.85,4279,ekw9bqx6s/,com.sec.android.app.shealth,0,359e95f4-a6a1-44ac-9743-c9f17a09fa8a.achievement.json,359e95f4-a6a1-44ac-9743-c9f17a09fa8a,1526083200000,
9715,6ed39e7a-099d-4a01-90ae-106446ec32cd.binning_data.json,5277156,6000,0,2018-05-15 22:00:01.642,com.sec.android.app.shealth,2018-05-15 22:00:01.642,,1.5625,7443.0103,392.08,9715,ekw9bqx6s/,com.sec.android.app.shealth,5688,6ed39e7a-099d-4a01-90ae-106446ec32cd.achievement.json,6ed39e7a-099d-4a01-90ae-106446ec32cd,1526342400000,
8856,2e0ea0f9-4c2c-43b8-b81c-fa4d21ac5c16.binning_data.json,5010598,6000,0,2018-05-07 21:57:08.893,com.sec.android.app.shealth,2018-05-07 08:03:16.837,2e0ea0f9-4c2c-43b8-b81c-fa4d21ac5c16.source_info.json,1.3357728,6693.02,360.33,8856,VfS0qUERdZ,com.sec.android.app.shealth,0,2e0ea0f9-4c2c-43b8-b81c-fa4d21ac5c16.achievement.json,2e0ea0f9-4c2c-43b8-b81c-fa4d21ac5c16,1525651200000,
7578,435a8d4a-30ef-47f0-ac32-bd28a267f72e.binning_data.json,4230977,6000,0,2018-05-08 15:35:03.673,com.sec.android.app.shealth,2018-05-08 06:41:39.025,435a8d4a-30ef-47f0-ac32-bd28a267f72e.source_info.json,1.3603618,5755.66,307.78,7578,VfS0qUERdZ,com.sec.android.app.shealth,0,435a8d4a-30ef-47f0-ac32-bd28a267f72e.achievement.json,435a8d4a-30ef-47f0-ac32-bd28a267f72e,1525737600000,
7391,a5b8f678-39e9-47ea-9fc7-7c44e6452f79.binning_data.json,4111893,6000,0,2018-05-18 22:00:01.470,com.sec.android.app.shealth,2018-05-18 22:00:01.470,,1.9166666,5597.91,301.05,7391,ekw9bqx6s/,com.sec.android.app.shealth,6226,a5b8f678-39e9-47ea-9fc7-7c44e6452f79.achievement.json,a5b8f678-39e9-47ea-9fc7-7c44e6452f79,1526601600000,
10959,047a9f5a-2976-4277-89ef-7ab47efd6159.binning_data.json,6254177,6000,0,2018-05-10 21:35:09.531,com.sec.android.app.shealth,2018-05-09 23:18:54.015,047a9f5a-2976-4277-89ef-7ab47efd6159.source_info.json,1.3302771,8319.79,441.52997,10959,VfS0qUERdZ,com.sec.android.app.shealth,0,047a9f5a-2976-4277-89ef-7ab47efd6159.achievement.json,047a9f5a-2976-4277-89ef-7ab47efd6159,1525910400000,
9710,64ff5590-aa97-4df4-a4bf-43282b3cca88.binning_data.json,5873960,6000,0,2018-05-11 21:06:59.584,com.sec.android.app.shealth,2018-05-10 23:34:07.313,64ff5590-aa97-4df4-a4bf-43282b3cca88.source_info.json,1.2426591,7299.33,389.03,9710,VfS0qUERdZ,com.sec.android.app.shealth,0,64ff5590-aa97-4df4-a4bf-43282b3cca88.achievement.json,64ff5590-aa97-4df4-a4bf-43282b3cca88,1525996800000,
10932,7a6b3886-4825-40f4-8801-a775e7737554.binning_data.json,5909600,6000,0,2018-05-17 22:00:01.829,com.sec.android.app.shealth,2018-05-17 22:00:01.829,,1.5428332,8338.21,442.91,10932,ekw9bqx6s/,com.sec.android.app.shealth,7417,7a6b3886-4825-40f4-8801-a775e7737554.achievement.json,7a6b3886-4825-40f4-8801-a775e7737554,1526515200000,
292,51b52c48-7d85-42f1-840f-19da446435c8.binning_data.json,177319,6000,0,2018-05-13 20:55:47.329,com.sec.android.app.shealth,2018-05-13 08:48:27.498,51b52c48-7d85-42f1-840f-19da446435c8.source_info.json,1.2463361,221.0,11.56,292,VfS0qUERdZ,com.sec.android.app.shealth,0,51b52c48-7d85-42f1-840f-19da446435c8.achievement.json,51b52c48-7d85-42f1-840f-19da446435c8,1526169600000,
7368,1b7209de-8ce9-4c92-93cf-ef19e3cd4b3b.binning_data.json,4057690,6000,0,2018-05-09 21:55:01.530,com.sec.android.app.shealth,2018-05-09 07:40:41.683,1b7209de-8ce9-4c92-93cf-ef19e3cd4b3b.source_info.json,1.3800658,5599.88,300.35,7368,VfS0qUERdZ,com.sec.android.app.shealth,0,1b7209de-8ce9-4c92-93cf-ef19e3cd4b3b.achievement.json,1b7209de-8ce9-4c92-93cf-ef19e3cd4b3b,1525824000000,
3794,cf8b9156-49c5-4894-a056-34b8d3b050a1.binning_data.json,2021848,6000,0,2018-05-14 13:01:07.533,com.sec.android.app.shealth,2018-05-14 06:42:27.858,cf8b9156-49c5-4894-a056-34b8d3b050a1.source_info.json,1.4369773,2905.35,154.74,3794,VfS0qUERdZ,com.sec.android.app.shealth,0,cf8b9156-49c5-4894-a056-34b8d3b050a1.achievement.json,cf8b9156-49c5-4894-a056-34b8d3b050a1,1526256000000,
12113,77997656-7aca-43ef-b48f-6bad1395af35.binning_data.json,7111684,6000,104,2018-05-21 22:00:01.995,com.sec.android.app.shealth,2018-05-21 22:00:01.995,,2.5,9165.12,492.48996,12009,ekw9bqx6s/,com.sec.android.app.shealth,4556,77997656-7aca-43ef-b48f-6bad1395af35.achievement.json,77997656-7aca-43ef-b48f-6bad1395af35,1526860800000,
6453,e4df8a63-8c50-46fa-8df5-19bc814ef9dd.binning_data.json,3396099,6000,0,2018-05-22 22:00:03.398,com.sec.android.app.shealth,2018-05-22 22:00:03.398,,1.5371668,4922.94,265.91998,6453,ekw9bqx6s/,com.sec.android.app.shealth,5600,e4df8a63-8c50-46fa-8df5-19bc814ef9dd.achievement.json,e4df8a63-8c50-46fa-8df5-19bc814ef9dd,1526947200000,
4282,0e2bc558-c120-4348-b1e9-d7d6b21a9037.binning_data.json,2742401,6000,3,2018-05-12 20:05:28.190,com.sec.android.app.shealth,2018-05-11 23:55:34.045,0e2bc558-c120-4348-b1e9-d7d6b21a9037.source_info.json,1.1624739,3187.97,171.85,4279,VfS0qUERdZ,com.sec.android.app.shealth,0,0e2bc558-c120-4348-b1e9-d7d6b21a9037.achievement.json,0e2bc558-c120-4348-b1e9-d7d6b21a9037,1526083200000,
11270,5078c1b2-938c-4f08-ae19-70b2bd325b8d.binning_data.json,6287389,6000,0,2018-05-25 22:00:02.391,com.sec.android.app.shealth,2018-05-25 22:00:02.391,,1.8888887,8563.82,457.74,11270,ekw9bqx6s/,com.sec.android.app.shealth,5320,5078c1b2-938c-4f08-ae19-70b2bd325b8d.achievement.json,5078c1b2-938c-4f08-ae19-70b2bd325b8d,1527206400000,
11019,3081d06b-b611-4642-a233-184e388be3a6.binning_data.json,6042771,6000,0,2018-05-24 22:00:02.673,com.sec.android.app.shealth,2018-05-24 22:00:02.673,,1.5431666,8392.62,448.42,11019,ekw9bqx6s/,com.sec.android.app.shealth,7277,3081d06b-b611-4642-a233-184e388be3a6.achievement.json,3081d06b-b611-4642-a233-184e388be3a6,1527120000000,
